Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Polska;Kowalski;16.07.2003;10248;440.00
Polska;Sowiński;10.07.2003;10249;1863.40
Niemcy;Peacock;12.07.2003;10250;1552.60
Niemcy;Leverling;15.07.2003;10251;654.06
Niemcy;Peacock;11.07.2003;10252;3597.90
Niemcy;Leverling;16.07.2003;10253;1444.80
Polska;Kowalski;23.07.2003;10254;556.62
Polska;Dudek;15.07.2003;10255;2490.50
Niemcy;Leverling;17.07.2003;10256;517.80
Niemcy;Peacock;22.07.2003;10257;1119.90
Niemcy;Davolio;23.07.2003;10258;1614.88
Niemcy;Peacock;25.07.2003;10259;100.80
Niemcy;Peacock;29.07.2003;10260;1504.65
Niemcy;Peacock;30.07.2003;10261;448.00
Niemcy;Callahan;25.07.2003;10262;584.00
Polska;Dudek;31.07.2003;10263;1873.80
Polska;Sowiński;23.08.2003;10264;695.62
Niemcy;Fuller;12.08.2003;10265;1176.00
Niemcy;Leverling;31.07.2003;10266;346.56
Niemcy;Peacock;06.08.2003;10267;3536.60
Niemcy;Callahan;02.08.2003;10268;1101.20
Polska;Kowalski;09.08.2003;10269;642.20
Niemcy;Davolio;02.08.2003;10270;1376.00
Polska;Sowiński;30.08.2003;10271;48.00
Polska;Sowiński;06.08.2003;10272;1456.00
Niemcy;Leverling;12.08.2003;10273;2037.28
Polska;Sowiński;16.08.2003;10274;538.60
Niemcy;Davolio;09.08.2003;10275;291.84
Niemcy;Callahan;14.08.2003;10276;420.00
Niemcy;Fuller;13.08.2003;10277;1200.80
Niemcy;Callahan;16.08.2003;10278;1488.80
Niemcy;Callahan;16.08.2003;10279;351.00
Niemcy;Fuller;12.09.2003;10280;613.20
Niemcy;Peacock;21.08.2003;10281;86.50
Niemcy;Peacock;21.08.2003;10282;155.40
Niemcy;Leverling;23.08.2003;10283;1414.80
Niemcy;Peacock;27.08.2003;10284;1170.37
Niemcy;Davolio;26.08.2003;10285;1743.36
Niemcy;Callahan;30.08.2003;10286;3016.00
Niemcy;Callahan;28.08.2003;10287;819.00
Niemcy;Peacock;03.09.2003;10288;80.10
Polska;King;28.08.2003;10289;479.40
Niemcy;Callahan;03.09.2003;10290;2169.00
Polska;Sowiński;04.09.2003;10291;497.52
Niemcy;Davolio;02.09.2003;10292;1296.00
Niemcy;Davolio;11.09.2003;10293;848.70
Niemcy;Peacock;05.09.2003;10294;1887.60
Niemcy;Fuller;10.09.2003;10295;121.60
Polska;Sowiński;11.09.2003;10296;1050.60
Polska;Kowalski;10.09.2003;10297;1420.00
Polska;Sowiński;11.09.2003;10298;2645.00
Niemcy;Peacock;13.09.2003;10299;349.50
Niemcy;Fuller;18.09.2003;10300;608.00
Niemcy;Callahan;17.09.2003;10301;755.00
Niemcy;Peacock;09.10.2003;10302;2708.80
Polska;King;18.09.2003;10303;1117.80
Niemcy;Davolio;17.09.2003;10304;954.40
Niemcy;Callahan;09.10.2003;10305;3741.30
Niemcy;Davolio;23.09.2003;10306;498.50
Niemcy;Fuller;25.09.2003;10307;424.00
Polska;King;24.09.2003;10308;88.80
Niemcy;Leverling;23.10.2003;10309;1762.00
Niemcy;Callahan;27.09.2003;10310;336.00
Niemcy;Davolio;26.09.2003;10311;268.80
Niemcy;Fuller;03.10.2003;10312;1614.80
Niemcy;Fuller;04.10.2003;10313;182.40
Niemcy;Davolio;04.10.2003;10314;2094.30
Niemcy;Peacock;03.10.2003;10315;516.80
Niemcy;Davolio;08.10.2003;10316;2835.00
Polska;Sowiński;10.10.2003;10317;288.00
Niemcy;Callahan;04.10.2003;10318;240.40
Polska;King;11.10.2003;10319;1191.20
Polska;Kowalski;18.10.2003;10320;516.00
Niemcy;Leverling;11.10.2003;10321;144.00
Polska;King;23.10.2003;10322;112.00
Niemcy;Peacock;14.10.2003;10323;164.40
Polska;Dudek;10.10.2003;10324;5275.71
Niemcy;Davolio;14.10.2003;10325;1497.00
Niemcy;Peacock;14.10.2003;10326;982.00
Niemcy;Fuller;14.10.2003;10327;1810.00
Niemcy;Peacock;17.10.2003;10328;1168.00
Niemcy;Peacock;23.10.2003;10329;4578.43
Niemcy;Leverling;28.10.2003;10330;1649.00
Polska;Dudek;21.10.2003;10331;88.50
Niemcy;Leverling;21.10.2003;10332;1786.88
Polska;Kowalski;25.10.2003;10333;877.20
Niemcy;Callahan;28.10.2003;10334;144.80
Polska;King;24.10.2003;10335;2036.16
Polska;King;25.10.2003;10336;285.12
Niemcy;Peacock;29.10.2003;10337;2467.00
Niemcy;Peacock;29.10.2003;10338;934.50
Niemcy;Fuller;04.11.2003;10339;3354.00
Niemcy;Davolio;08.11.2003;10340;2436.18
Polska;King;05.11.2003;10341;352.60
Niemcy;Peacock;04.11.2003;10342;1840.64
Niemcy;Peacock;06.11.2003;10343;1584.00
Niemcy;Peacock;05.11.2003;10344;2296.00
Niemcy;Fuller;11.11.2003;10345;2924.80
Niemcy;Leverling;08.11.2003;10346;1618.88
